frame,num_cells,avg_area,avg_brightness
0,1135,87.73039647577093,117.0858023346571
1,1071,85.96358543417367,116.92651159931395
2,1082,89.68114602587801,118.57995084810626
3,1085,98.63870967741936,120.30898550397943
4,1129,104.11337466784765,120.33180855053774
5,1174,112.00085178875639,121.7636445230867
6,1182,122.72419627749576,122.84274791011093
7,1213,130.47238252267107,123.4502263231058
8,1255,135.72509960159363,124.41402115768172
9,1289,144.01861908456166,124.91900373844669
10,1332,151.46846846846847,125.36518695145516
11,1372,154.64941690962098,125.57745703283051
12,1440,157.85972222222222,125.80056090622092
13,1486,161.51749663526246,126.02446434630625
14,1508,168.22745358090185,126.20903421366083
15,1518,173.41699604743084,126.11067143145509
16,1555,174.33504823151125,126.25295058901682
17,1554,183.0019305019305,126.25540464743466
18,1593,185.5084745762712,126.25859589615415
19,1631,184.35131820968732,126.17228513531012
20,1664,184.63762019230768,126.37878588248287
21,1703,185.17557251908397,126.25600094973287
22,1748,183.55434782608697,126.41409682268642
23,1829,179.38928376161837,126.18456675033475
24,1854,180.08845738942827,126.27562173170301
25,1910,178.17958115183245,126.11104861733763
26,1957,174.53091466530404,126.13040050351908
27,2002,174.27472527472528,126.57985887768737
28,2068,169.20406189555126,126.22504744235135
29,2139,165.77840112201963,126.2545071717264
30,2189,165.53997259022384,126.15390746728737
31,2255,163.28470066518847,126.11290776865043
32,2311,161.38641280830808,125.94528400107842
33,2362,159.60711261642675,125.94275990369825
34,2402,158.84762697751873,126.05943150746987
35,2447,157.87045361667347,125.906897273883
36,2471,157.51436665317686,125.75010346243491
37,2523,156.79191438763377,125.49411473882387
38,2553,156.35683509596552,125.61299771846774
39,2589,153.87562765546542,125.37776515887639
40,2613,153.27898966704936,125.2475258133538
41,2641,152.09314653540326,125.10702005921834
42,2679,150.38335199701382,124.91641915927573
43,2733,146.88071716062933,125.38544708255513
44,2720,147.36433823529413,124.4676469255957
45,2733,146.07135016465423,124.24327719245909
46,2736,144.84576023391813,123.95616398386916
47,2766,142.5455531453362,123.60951378053774
48,2764,139.91353111432707,123.40902308843339
49,2764,137.26121562952244,123.13603982602393
50,2791,134.65926191329274,122.78240763565492
51,2789,132.21728217999282,122.44618150024469
52,2774,130.59625090122566,122.18402131050547
53,2776,128.65381844380403,122.63062780286444
54,2741,126.91499452754469,122.74720284652594
55,2724,126.01982378854626,122.35323714450483
56,2761,123.43716044911264,121.98043354125289
57,2767,122.19371160101193,121.86418384133664
58,2704,120.89866863905326,122.0540719969629
59,2716,116.07290132547864,121.55317701732756
60,2737,115.17756667884545,121.30108277254885
61,2689,114.22982521383413,120.05445345500127
62,2703,113.5449500554939,120.6387585557501
63,2695,109.66641929499072,119.4869068232505
64,2696,109.46921364985164,120.58539935755074
65,2708,108.86558345642541,120.32890834878624
66,2691,108.53734671125976,120.44602265040017
67,2656,107.55911144578313,120.38950780781254
68,2658,105.14145974416854,120.403960721652
69,2668,104.71326836581709,120.46341569899394
70,2666,104.01725431357839,120.29228784338001
71,2686,101.03462397617275,120.06228939127408
72,2679,100.39305711086226,120.3020783744924
73,2618,102.49618029029794,119.9911980608628
74,2649,101.01963004907512,120.12904430104606
75,2671,99.16211156870087,120.14081729222505
76,2678,99.11053024645258,119.65512567635277
77,2657,98.90440346255176,119.42445405526678
78,2610,98.75057471264368,119.35396857568591
79,2672,96.43001497005989,119.25402109025772
80,2666,97.23368342085521,119.51074027508726
81,2673,96.47325102880659,119.4258798335394
82,2655,96.13898305084746,119.58063258410952
83,2664,95.99812312312312,119.5077891079981
84,2659,95.14291086874765,119.47721231313403
85,2679,93.70660694288914,119.52589560423148
86,2688,92.61681547619048,119.44689716298195
87,2683,92.33879985091316,119.41192130553875
88,2656,92.38968373493977,119.34581411458234
89,2640,92.64015151515152,119.39411749456502
90,2606,92.53568687643899,119.48604664743264
91,2634,91.53948367501899,119.47724472493259
