Frame,num_cells,Circular,Fixed,Dead,fragments,apoptotic,necrotic,fixed,regular,avg_area,avg_brightness
113,2622,0,0,2604,18,11,3,4,2604,85.49199084668192,119.47632280732495
114,2630,0,0,2607,23,13,4,6,2607,84.89011406844106,119.67637729816366
115,2613,0,0,2597,16,6,3,7,2597,85.37964026023728,119.42896520550048
116,2606,0,0,2590,16,6,3,7,2590,84.67498081350729,119.39978464623616
117,2618,0,0,2593,25,9,8,8,2593,84.09243697478992,119.39926515840928
118,2578,0,0,2560,18,10,3,5,2560,84.14817688130334,119.87374793620756
119,2570,0,0,2556,14,10,3,1,2556,84.79377431906615,119.7461761094893
120,2585,0,0,2564,21,7,8,6,2564,84.20889748549322,119.41597751461046
121,2605,0,0,2581,24,14,4,6,2581,83.47408829174664,119.1619294203231
122,2592,0,0,2574,18,12,3,3,2574,83.30979938271605,119.81106020526761
123,2619,0,0,2601,18,13,0,5,2601,82.68079419625812,119.39258658363813
124,2625,0,0,2604,21,13,4,4,2604,82.43771428571428,119.3883941512656
125,2603,0,0,2578,25,11,5,9,2578,82.63081060315021,119.32657179116924
126,2587,0,0,2564,23,15,3,5,2564,82.94433706996521,119.32466257134958
127,2606,0,0,2583,23,10,6,7,2583,82.82310053722179,119.50363597034867
128,2596,0,0,2570,26,12,6,8,2570,83.17295839753467,119.99372193177638
129,2593,0,0,2582,11,7,1,3,2582,83.44581565753953,119.62281583574297
130,2599,0,0,2586,13,5,5,3,2586,83.23278183916891,119.87387812517308
131,2621,0,0,2611,10,6,2,2,2611,82.22014498283099,119.85715327409957
132,2607,0,0,2594,13,8,3,2,2594,82.76256233218258,119.88657229106705
133,2636,0,0,2620,16,10,2,4,2620,82.78641881638846,119.9195970891481
134,2641,0,0,2627,14,3,4,7,2627,81.9265429761454,119.86630949655854
135,2637,0,0,2617,20,12,2,6,2617,81.87599544937429,119.78928188351888
136,2611,0,0,2595,16,9,2,5,2595,81.68747606281119,119.80130917433694
137,2623,0,0,2611,12,8,1,3,2611,81.49828440716736,119.7805655734271
138,2602,0,0,2584,18,11,4,3,2584,81.9554189085319,119.67605855500331
139,2591,0,0,2576,15,4,7,4,2576,82.38440756464685,119.83887654946899
140,2616,0,0,2600,16,7,2,7,2600,81.60359327217125,119.6971842317746
141,2603,0,0,2593,10,6,1,3,2593,82.0318862850557,119.77973036982739
142,2593,0,0,2574,19,8,5,6,2574,81.41419205553413,119.786312737949
143,2601,0,0,2586,15,4,5,6,2586,81.19684736639753,119.68623926737236
144,2604,0,0,2587,17,7,6,4,2587,81.10599078341014,119.68146672961404
145,2620,0,0,2600,20,6,6,8,2600,80.91030534351145,119.75376115992383
146,2627,0,0,2612,15,4,4,7,2612,80.86486486486487,119.56088988900723
147,2623,0,0,2612,11,5,1,5,2612,81.01906214258483,119.71553714928257
148,2645,0,0,2622,23,4,14,5,2622,80.40869565217392,119.55207740091815
149,2631,0,0,2615,16,5,4,7,2615,80.68187001140251,119.16357495385829
150,2616,0,0,2602,14,3,5,6,2602,80.81230886850153,119.01390674239452
151,2610,0,0,2601,9,3,4,2,2601,80.74291187739463,119.25352323550318
152,2615,0,0,2603,12,6,2,4,2603,80.45047801147227,118.95457900620946
153,2597,0,0,2582,15,5,3,7,2582,80.68540623796689,119.04927854383946
154,2589,0,0,2575,14,8,2,4,2575,80.67323290845887,119.10704889407191
155,2620,0,0,2606,14,6,1,7,2606,80.00801526717557,119.03164277612632
156,2599,0,0,2587,12,6,3,3,2587,80.49172758753366,119.04001274366298
157,2594,0,0,2583,11,4,3,4,2583,80.17270624518119,119.0020236951118
158,2605,0,0,2594,11,5,3,3,2594,80.60191938579655,118.86884068712838
159,2606,0,0,2595,11,4,3,4,2595,80.24481964696854,118.87725329218183
160,2599,0,0,2584,15,6,2,7,2584,80.5163524432474,118.89666973485281
